,fuel_data,date,raw_data
846,9,260527113005,125
847,9,260527113032,127
848,7,260527113059,127
849,7,260527113126,127
850,7,260527113142,127
851,4,260527113206,127
852,4,260527113233,127
853,7,260527113300,128
854,7,260527113320,127
855,8,260527113347,127
856,8,260527113402,127
857,8,260527113429,127
858,6,260527113456,128
859,6,260527113523,127
860,6,260527113551,127
861,6,260527113618,128
862,6,260527113645,128
863,9,260527113649,128
864,9,260527113655,128
865,9,260527113701,128
866,9,260527113728,127
867,5,260527113755,129
868,5,260527113822,127
869,5,260527114427,40
870,5,260527114510,124
871,5,260527114537,124
872,5,260527114550,124
873,10,260527114617,124
874,10,260527114644,124
875,10,260527114658,124
876,6,260527114703,124
877,6,260527114730,128
878,6,260527114757,128
879,7,260527114802,128
880,7,260527114829,127
881,7,260527114856,127
882,6,260527114913,128
883,6,260527114918,128
884,6,260527114938,128
885,6,260527114942,128
886,6,260527115009,130
887,6,260527115024,129
888,6,260527115051,127
889,7,260527115118,128
890,7,260527115145,129
891,7,260527115212,128
892,7,260527115239,128
893,7,260527115305,128
894,7,260527115332,128
895,7,260527115357,128
896,6,260527115417,128
897,6,260527115438,128
898,7,260527115505,128
899,7,260527115516,128
900,7,260527115534,128
901,7,260527115539,128
902,7,260527115550,128
903,7,260527115555,128
904,3,260527115622,127
905,3,260527115649,128
906,8,260527115716,130
907,8,260527115743,129
908,6,260527115809,127
909,6,260527115837,128
910,7,260527115902,127
911,7,260527115926,129
912,7,260527115952,129
913,7,260527120017,127
914,7,260527120042,130
915,5,260527120107,128
916,5,260527120132,127
917,5,260527120158,128
918,6,260527120222,128
919,6,260527120247,127
920,8,260527120312,129
921,8,260527120336,128
922,7,260527120402,129
923,7,260527120427,127
924,7,260527120452,129
925,6,260527120516,128
926,6,260527120542,128
927,6,260527120607,129
928,6,260527120632,128
929,6,260527120657,127
930,6,260527120721,127
931,6,260527120747,129
932,6,260527120812,127
933,6,260527120837,130
934,5,260527120926,128
935,6,260527121022,127
936,6,260527121106,127
937,6,260527121132,128
938,6,260527121157,128
939,6,260527121222,126
940,6,260527121247,127
941,8,260527121312,128
942,8,260527121336,128
943,5,260527121402,128
944,5,260527121427,128
945,6,260527121516,128
946,6,260527121607,128
947,6,260527121632,130
948,6,260527121657,128
949,5,260527121719,128
950,5,260527121724,128
951,7,260527121812,129
952,7,260527121837,127
953,6,260527121902,128
954,6,260527121906,128
955,6,260527121912,128
956,6,260527121924,128
957,6,260527121936,127
958,6,260527122003,130
959,6,260527122030,130
960,6,260527122057,128
961,6,260527122124,129
962,6,260527122150,129
963,6,260527122217,128
964,6,260527122236,128
965,5,260527122303,128
966,5,260527122330,127
967,5,260527122335,127
968,5,260527122340,127
969,6,260527122400,128
970,6,260527122407,128
971,6,260527122434,128
972,6,260527122501,128
973,6,260527122555,128
974,7,260527122621,128
975,7,260527122648,127
976,7,260527122715,127
977,7,260527122742,129
978,6,260527122809,130
979,6,260527122836,128
980,6,260527122902,128
981,6,260527122927,128
982,6,260527122952,128
983,6,260527123017,128
984,6,260527123042,129
985,6,260527123107,129
986,6,260527123131,129
987,6,260527123157,127
988,3,260527123222,128
989,3,260527123247,128
990,3,260527123254,128
991,9,260527123337,128
992,7,260527123402,128
993,7,260527123427,130
994,7,260527123452,127
995,5,260527123517,128
996,5,260527123541,127
997,6,260527123607,127
998,6,260527123632,128
999,6,260527123657,127
1000,6,260527123722,128
1001,6,260527123747,127
1002,5,260527123812,127
1003,5,260527123837,127
1004,6,260527123901,127
1005,6,260527123919,127
1006,6,260527123952,128
1007,6,260527124017,126
1008,6,260527124042,127
1009,5,260527124107,128
1010,5,260527124132,125
1011,5,260527124157,128
1012,6,260527124222,127
1013,6,260527124246,128
1014,5,260527124312,127
1015,5,260527124337,127
1016,4,260527124402,129
1017,4,260527124427,128
1018,4,260527124452,127
1019,4,260527124516,127
1020,4,260527124542,130
1021,4,260527124607,127
1022,4,260527124632,129
1023,4,260527124657,130
1024,5,260527124713,128
1025,5,260527124718,127
1026,5,260527124722,127
1027,5,260527124726,127
1028,5,260527124753,129
1029,3,260527124808,127
1030,3,260527124835,129
1031,5,260527124902,129
1032,5,260527124929,130
1033,5,260527124956,129
1034,5,260527125023,127
1035,5,260527125049,130
1036,5,260527125116,130
1037,5,260527125143,130
1038,4,260527125210,127
1039,4,260527125237,130
1040,4,260527125304,127
1041,4,260527125331,130
1042,4,260527125358,130
1043,4,260527125424,127
1044,4,260527125452,130
1045,5,260527125517,128
1046,5,260527125542,130
1047,4,260527125607,130
1048,4,260527125632,128
1049,4,260527125657,129
1050,7,260527125722,130
1051,7,260527125747,129
1052,4,260527125812,128
1053,4,260527125837,128
1054,4,260527125901,130
1055,4,260527125926,127
1056,4,260527125952,130
1057,7,260527130017,128
1058,7,260527130042,129
1059,7,260527130048,128
1060,7,260527130053,128
1061,5,260527130121,127
1062,5,260527130148,128
1063,5,260527130215,130
1064,5,260527130242,129
1065,4,260527130309,128
1066,4,260527130336,128
1067,4,260527130402,128
1068,4,260527130427,128
1069,4,260527130452,130
1070,6,260527130516,130
1071,6,260527130541,129
1072,5,260527130607,129
1073,5,260527130632,129
1074,5,260527130658,129
1075,6,260527130714,128
1076,6,260527130720,128
1077,6,260527130733,127
1078,6,260527130747,128
1079,6,260527130837,130
1080,6,260527130902,129
1081,6,260527130927,129
1082,6,260527130952,129
1083,6,260527131017,129
1084,6,260527131041,129
1085,6,260527131106,130
1086,6,260527131132,129
1087,6,260527131157,129
1088,6,260527131222,127
1089,6,260527131229,128
1090,6,260527131234,128
1091,4,260527131301,128
1092,4,260527131328,130
1093,4,260527131355,128
1094,4,260527131422,127
1095,4,260527131449,127
1096,4,260527131455,127
1097,7,260527131515,128
1098,7,260527131542,127
1099,6,260527131607,129
1100,6,260527131620,127
1101,6,260527131625,127
1102,6,260527131638,127
1103,6,260527131643,127
1104,4,260527131710,128
1105,4,260527131737,127
1106,4,260527131743,127
1107,4,260527131810,129
1108,4,260527131820,129
1109,4,260527131847,127
1110,4,260527131855,127
1111,5,260527131905,129
1112,5,260527131910,129
1113,5,260527131937,128
1114,6,260527132004,127
1115,6,260527132031,128
1116,6,260527132058,130
1117,5,260527132125,130
1118,5,260527132152,128
1119,5,260527132220,129
1120,5,260527132247,128
1121,4,260527132312,127
1122,4,260527132333,129
1123,4,260527132338,130
1124,5,260527132427,129
1125,5,260527132446,129
1126,5,260527132451,128
1127,5,260527132516,129
1128,5,260527132525,130
1129,3,260527132606,130
1130,3,260527132631,128
