,sample_number,date,temp,status
120,120,260913010352,79,0x262602005304160867284063983169001902581E000000304F00000500000040000000000238EF00260913010352CD2C7B44B15998C21A4A8340000000112834000000010D16000015EF02411059774310FFFF
121,121,260913010418,79,0x262602005304170867284063983169001902581E000000304E00000500000040000000000238EF00260913010418CD2C7B44B15998C21A4A8340000000112829000000010D3C0000184D023C125A774310FFFF
122,122,260913010445,79,0x262602005304180867284063983169001902581E000000304F00000500000040000000000238EF00260913010445CD2C7B44B15998C21A4A8340000000112834000000010D5E00001474023C0F5A774310FFFF
123,123,260913010511,79,0x262602005304190867284063983169001902581E000000305000000500000040000000000238EF00260913010511CD2C7B44B15998C21A4A8340000000112824000000010D8200001726023D115A774310FFFF
124,124,260913010538,79,0x2626020053041A0867284063983169001902581E000000335000000500000040000000000238EF00260913010538CD2C7B44B15998C21A4A8340000000112829000000010DA6000011C1023F0D5877430FFFFF
125,125,260913010604,79,0x2626020053041B0867284063983169001902581E000000305000000500000040000000000238EF00260913010604CD2C7B44B15998C21A4A8340000000112830000000010DC700001325023D0D5877430FFFFF
126,126,260913010631,79,0x2626020053041C0867284063983169001902581E000000304E00000500000040000000000238EF00260913010631CD2C7B44B15998C21A4A8340000000112823000000010DE900000F77023D0B58774310FFFF
127,127,260913010656,78,0x2626020053041D0867284063983169001902581E000000304F00000500000040000000000238EF00260913010656CD2C7B44B15998C21A4A8340000000112826000000010E0C00001726023F115976430FFFFF
128,128,260913010722,78,0x2626020053041E0867284063983169001902581E000000304E00000500000040000000000238EF00260913010722CD2C7B44B15998C21A4A8340000000112829000000010E320000116D023F0D59764310FFFF
129,129,260913010746,78,0x2626020053041F0867284063983169001902581E000000304F00000500000040000000000238EF00260913010746CD2C7B44B15998C21A4A8340000000112826000000010E500000112E023E0D5A764310FFFF
130,130,260913010811,78,0x262602005304200867284063983169001902581E000000304F00000500000040000000000238EF00260913010811CD2C7B44B15998C21A4A8340000000112826000000010E76000011AD023E0D58764310FFFF
